"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 16 00:11:17 MSK 2025","Wed Jul 16 00:11:20 MSK 2025","3251","","ru.praktikum.tests.CreateOrderTest","","ru.praktikum.tests.CreateOrderTest","orderCanBeCreatedWithIngredientsAndAuth","Создание заказа с ингредиентами и с авторизацией",""
"passed","Wed Jul 16 00:11:31 MSK 2025","Wed Jul 16 00:11:32 MSK 2025","753","","ru.praktikum.tests.UpdateUserTest","","ru.praktikum.tests.UpdateUserTest","userDataCannotBeUpdatedWithoutAuth","Изменение данных пользователя без авторизации",""
"passed","Wed Jul 16 00:11:28 MSK 2025","Wed Jul 16 00:11:29 MSK 2025","902","","ru.praktikum.tests.LoginUserTest","","ru.praktikum.tests.LoginUserTest","userCanLoginWithValidCredentials","Логин под существующим пользователем",""
"passed","Wed Jul 16 00:11:11 MSK 2025","Wed Jul 16 00:11:16 MSK 2025","5175","","ru.praktikum.tests.CreateOrderTest","","ru.praktikum.tests.CreateOrderTest","orderCannotBeCreatedWithInvalidHash","Создание заказа с неверным хэшем ингредиента",""
"passed","Wed Jul 16 00:11:32 MSK 2025","Wed Jul 16 00:11:32 MSK 2025","826","","ru.praktikum.tests.UpdateUserTest","","ru.praktikum.tests.UpdateUserTest","userEmailCanBeUpdatedWithAuth","Изменение email пользователя с авторизацией",""
"passed","Wed Jul 16 00:11:16 MSK 2025","Wed Jul 16 00:11:17 MSK 2025","990","","ru.praktikum.tests.CreateOrderTest","","ru.praktikum.tests.CreateOrderTest","orderCannotBeCreatedWithoutIngredients","Создание заказа без ингредиентов",""
"passed","Wed Jul 16 00:11:20 MSK 2025","Wed Jul 16 00:11:21 MSK 2025","967","","ru.praktikum.tests.CreateOrderTest","","ru.praktikum.tests.CreateOrderTest","orderCannotBeCreatedWithoutAuth","Создание заказа без авторизации",""
"passed","Wed Jul 16 00:11:29 MSK 2025","Wed Jul 16 00:11:30 MSK 2025","864","","ru.praktikum.tests.LoginUserTest","","ru.praktikum.tests.LoginUserTest","userCannotLoginWithWrongPassword","Логин с неверным паролем",""
"passed","Wed Jul 16 00:11:32 MSK 2025","Wed Jul 16 00:11:33 MSK 2025","118","","ru.praktikum.tests.UserCreationTest","","ru.praktikum.tests.UserCreationTest","userCannotBeCreatedWithoutEmail","Создание пользователя без обязательного поля (email)",""
"passed","Wed Jul 16 00:11:21 MSK 2025","Wed Jul 16 00:11:25 MSK 2025","3736","","ru.praktikum.tests.GetUserOrdersTest","","ru.praktikum.tests.GetUserOrdersTest","getOrdersForAuthorizedUser","Получение заказов авторизованного пользователя",""
"passed","Wed Jul 16 00:11:30 MSK 2025","Wed Jul 16 00:11:31 MSK 2025","856","","ru.praktikum.tests.UpdateUserTest","","ru.praktikum.tests.UpdateUserTest","userNameCanBeUpdatedWithAuth","Изменение имени пользователя с авторизацией",""
"passed","Wed Jul 16 00:11:33 MSK 2025","Wed Jul 16 00:11:33 MSK 2025","807","","ru.praktikum.tests.UserCreationTest","","ru.praktikum.tests.UserCreationTest","userCannotBeCreatedTwice","Создание пользователя, который уже зарегистрирован",""
"passed","Wed Jul 16 00:11:25 MSK 2025","Wed Jul 16 00:11:28 MSK 2025","3372","","ru.praktikum.tests.GetUserOrdersTest","","ru.praktikum.tests.GetUserOrdersTest","getOrdersForUnauthorizedUser","Получение заказов неавторизованного пользователя",""
"passed","Wed Jul 16 00:11:33 MSK 2025","Wed Jul 16 00:11:34 MSK 2025","697","","ru.praktikum.tests.UserCreationTest","","ru.praktikum.tests.UserCreationTest","userCanBeCreatedWithValidData","Создание уникального пользователя",""
